source_path,output_path,class,filename,interval_idx,start_sample,end_sample,duration_samples,kept_zero_samples,removed_samples,source_length,clean_length,clean_start_sample,clean_end_sample,action
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_102.npy2318.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_102.npy2318.npy,2um,HFocusing_5_10_2um2_0_102.npy2318.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_105.npy2331.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_105.npy2331.npy,2um,HFocusing_5_10_2um2_0_105.npy2331.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_105.npy2332.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_105.npy2332.npy,2um,HFocusing_5_10_2um2_0_105.npy2332.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1051.npy2333.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1051.npy2333.npy,2um,HFocusing_5_10_2um2_0_1051.npy2333.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1051.npy2334.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1051.npy2334.npy,2um,HFocusing_5_10_2um2_0_1051.npy2334.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1059.npy2339.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1059.npy2339.npy,2um,HFocusing_5_10_2um2_0_1059.npy2339.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1063.npy2342.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1063.npy2342.npy,2um,HFocusing_5_10_2um2_0_1063.npy2342.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1070.npy2344.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1070.npy2344.npy,2um,HFocusing_5_10_2um2_0_1070.npy2344.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1073.npy2345.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1073.npy2345.npy,2um,HFocusing_5_10_2um2_0_1073.npy2345.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1090.npy2350.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1090.npy2350.npy,2um,HFocusing_5_10_2um2_0_1090.npy2350.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1104.npy2355.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1104.npy2355.npy,2um,HFocusing_5_10_2um2_0_1104.npy2355.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1108.npy2357.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1108.npy2357.npy,2um,HFocusing_5_10_2um2_0_1108.npy2357.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1116.npy2360.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1116.npy2360.npy,2um,HFocusing_5_10_2um2_0_1116.npy2360.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1116.npy2361.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1116.npy2361.npy,2um,HFocusing_5_10_2um2_0_1116.npy2361.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1119.npy2363.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1119.npy2363.npy,2um,HFocusing_5_10_2um2_0_1119.npy2363.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1122.npy2366.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1122.npy2366.npy,2um,HFocusing_5_10_2um2_0_1122.npy2366.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1125.npy2367.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1125.npy2367.npy,2um,HFocusing_5_10_2um2_0_1125.npy2367.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1125.npy2368.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1125.npy2368.npy,2um,HFocusing_5_10_2um2_0_1125.npy2368.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1125.npy2373.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1125.npy2373.npy,2um,HFocusing_5_10_2um2_0_1125.npy2373.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_113.npy2375.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_113.npy2375.npy,2um,HFocusing_5_10_2um2_0_113.npy2375.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1153.npy2385.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1153.npy2385.npy,2um,HFocusing_5_10_2um2_0_1153.npy2385.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_116.npy2389.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_116.npy2389.npy,2um,HFocusing_5_10_2um2_0_116.npy2389.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1161.npy2390.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1161.npy2390.npy,2um,HFocusing_5_10_2um2_0_1161.npy2390.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1162.npy2391.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1162.npy2391.npy,2um,HFocusing_5_10_2um2_0_1162.npy2391.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1162.npy2393.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1162.npy2393.npy,2um,HFocusing_5_10_2um2_0_1162.npy2393.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1179.npy2395.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1179.npy2395.npy,2um,HFocusing_5_10_2um2_0_1179.npy2395.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1192.npy2403.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1192.npy2403.npy,2um,HFocusing_5_10_2um2_0_1192.npy2403.npy,,,,,0,0,2500,2500,,,copied_unchanged
P0/data/dataset/train/2um/HFocusing_5_10_2um2_0_1216.npy2416.npy,P0/data/dataset_particles2SNR_clean/train/2um/HFocusing_5_10_2um2_0_1216.npy2416.npy,2um,HFocusing_5_10_2um2_0_1216.npy2416.npy,,,,,0,0,2500,2500,,,copied_unchanged
