filename,path,class,signal_idx,signal_length,particle_idx,frequency,P0,t0,tau,phi,energy,snr_db,noise_floor,noise_floor_N,snr_method,source_window_idx,source_window_center,source_window_energy
HFocusing_5_10_2um2_0_10.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_10.npy,2um,0,16384,0,30761.71875,0.07982321083545685,0.00578,0.0001696520296075318,2.983175621796395,789.2959771960486,-3.4386130298587982,1742.2127685546875,3,peak_bin_energy_over_lowest_window_energy,18,11264,7828.111328125
HFocusing_5_10_2um2_0_10.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_10.npy,2um,0,16384,1,28320.3125,0.0659862831234932,0.005927,0.00012124068699111472,0.20548743978570272,284.7224967121292,-7.866794090175311,1742.2127685546875,3,peak_bin_energy_over_lowest_window_energy,18,11264,7828.111328125
HFocusing_5_10_2um2_0_10.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_10.npy,2um,0,16384,2,12207.03125,0.026361580938100815,0.006925,0.00013567915759601104,1.221877225093845,300.7927627754725,-7.628338096261153,1742.2127685546875,3,peak_bin_energy_over_lowest_window_energy,21,12800,4169.46533203125
HFocusing_5_10_2um2_0_1000.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_1000.npy,2um,1,16384,0,22949.21875,0.10561583936214447,0.0047675,0.00020150159711833252,0.03846174357617471,842.4292337249644,-3.815999480966159,2028.3055419921875,3,peak_bin_energy_over_lowest_window_energy,14,9216,13959.6845703125
HFocusing_5_10_2um2_0_1000.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_1000.npy,2um,1,16384,1,20996.09375,0.14569160342216492,0.004852,0.0001700766905076758,-1.8118024776180128,3476.811860771282,2.3404781323653374,2028.3055419921875,3,peak_bin_energy_over_lowest_window_energy,15,9728,16528.158203125
HFocusing_5_10_2um2_0_1001.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_1001.npy,2um,2,16384,0,15625.0,0.10797260701656342,0.0031285,0.00021530307637301284,-0.8798649243344023,2167.7264513728587,0.4413988833688235,1958.2340087890625,3,peak_bin_energy_over_lowest_window_energy,8,6144,11347.7353515625
HFocusing_5_10_2um2_0_1001.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_1001.npy,2um,2,16384,1,37109.375,0.11822827160358429,0.0041955,0.0001552135590026355,-1.3888165234100178,1018.7745057821885,-2.8378652025008337,1958.2340087890625,3,peak_bin_energy_over_lowest_window_energy,13,8704,26650.6640625
HFocusing_5_10_2um2_0_1001.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_1001.npy,2um,2,16384,2,35644.53125,0.17233844101428986,0.0042495,0.00013143254859457096,0.33055755280172505,2281.08667237348,0.6627719836212177,1958.2340087890625,3,peak_bin_energy_over_lowest_window_energy,13,8704,26650.6640625
HFocusing_5_10_2um2_0_1001.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_1001.npy,2um,2,16384,3,34179.6875,0.18032918870449066,0.0042845,0.0001293092440938509,-0.8708104147391076,2444.678982012905,0.9635724999783492,1958.2340087890625,3,peak_bin_energy_over_lowest_window_energy,13,8704,26650.6640625
HFocusing_5_10_2um2_0_1001.npy,P0/data/dataset_Particles2SNR_F_c1/train/2um/HFocusing_5_10_2um2_0_1001.npy,2um,2,16384,4,34179.6875,0.18046727776527405,0.004285,0.0001295215745439229,-1.0861901430943952,413.70125200733673,-6.751777534927711,1958.2340087890625,3,peak_bin_energy_over_lowest_window_energy,10,7168,9498.056640625
